time,x,y,z
0.00000000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.00000000e-02,2.02004815e+00,1.00994832e+00,3.98979951e+00
2.00000000e-02,2.04018506e+00,1.01978644e+00,3.97919623e+00
3.00000000e-02,2.06033357e+00,1.02960622e+00,3.96853157e+00
4.00000000e-02,2.08041468e+00,1.03953204e+00,3.95822049e+00
5.00000000e-02,2.10053972e+00,1.04937764e+00,3.94765040e+00
6.00000000e-02,2.12075858e+00,1.05911362e+00,3.93667231e+00
7.00000000e-02,2.14107203e+00,1.06873814e+00,3.92528235e+00
8.00000000e-02,2.16146981e+00,1.07824155e+00,3.91347777e+00
9.00000000e-02,2.18194059e+00,1.08761313e+00,3.90125555e+00
1.00000000e-01,2.20247277e+00,1.09684179e+00,3.88861285e+00
1.10000000e-01,2.22305433e+00,1.10591612e+00,3.87554722e+00
1.20000000e-01,2.24367284e+00,1.11482434e+00,3.86205660e+00
1.30000000e-01,2.26431546e+00,1.12355434e+00,3.84813933e+00
1.40000000e-01,2.28496891e+00,1.13209365e+00,3.83379420e+00
1.50000000e-01,2.30561953e+00,1.14042949e+00,3.81902047e+00
1.60000000e-01,2.32625323e+00,1.14854877e+00,3.80381790e+00
1.70000000e-01,2.34685552e+00,1.15643809e+00,3.78818676e+00
1.80000000e-01,2.36741151e+00,1.16408378e+00,3.77212789e+00
1.90000000e-01,2.38790593e+00,1.17147188e+00,3.75564270e+00
2.00000000e-01,2.40832315e+00,1.17858821e+00,3.73873319e+00
2.10000000e-01,2.42864715e+00,1.18541834e+00,3.72140203e+00
2.20000000e-01,2.44886158e+00,1.19194766e+00,3.70365251e+00
2.30000000e-01,2.46894974e+00,1.19816137e+00,3.68548863e+00
2.40000000e-01,2.48889466e+00,1.20404453e+00,3.66691510e+00
2.50000000e-01,2.50867902e+00,1.20958208e+00,3.64793734e+00
2.60000000e-01,2.52828528e+00,1.21475887e+00,3.62856157e+00
2.70000000e-01,2.54769563e+00,1.21955970e+00,3.60879476e+00
2.80000000e-01,2.56689204e+00,1.22396937e+00,3.58864468e+00
2.90000000e-01,2.58585631e+00,1.22797268e+00,3.56811996e+00
3.00000000e-01,2.60457007e+00,1.23155452e+00,3.54723002e+00
3.10000000e-01,2.62301482e+00,1.23469985e+00,3.52598516e+00
3.20000000e-01,2.64117198e+00,1.23739382e+00,3.50439656e+00
3.30000000e-01,2.65902290e+00,1.23962176e+00,3.48247625e+00
3.40000000e-01,2.67654892e+00,1.24136924e+00,3.46023716e+00
3.50000000e-01,2.69373141e+00,1.24262214e+00,3.43769313e+00
3.60000000e-01,2.71055180e+00,1.24336667e+00,3.41485886e+00
3.70000000e-01,2.72699163e+00,1.24358944e+00,3.39174998e+00
