time,x,y,z
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00
1.0000000000000000e-02,2.0200481495775779e+00,1.0099483192160799e+00,3.9897995143664167e+00
2.0000000000000000e-02,2.0401850598727465e+00,1.0197864416433502e+00,3.9791962330764146e+00
2.9999999999999999e-02,2.0603991157230359e+00,1.0295038654578788e+00,3.9681876963015696e+00
4.0000000000000001e-02,2.0806782929954939e+00,1.0390897633167968e+00,3.9567718328217678e+00
5.0000000000000003e-02,2.1010101610593561e+00,1.0485329917112398e+00,3.9449469847445857e+00
6.0000000000000005e-02,2.1213818867324208e+00,1.0578221018921574e+00,3.9327119324088233e+00
7.0000000000000007e-02,2.1417802397716854e+00,1.0669453524304056e+00,3.9200659193745029e+00
8.0000000000000002e-02,2.1621915999747898e+00,1.0758907234675112e+00,3.9070086773934776e+00
8.9999999999999997e-02,2.1826019659539555e+00,1.0846459327075526e+00,3.8935404512466407e+00
9.9999999999999992e-02,2.2029969656383801e+00,1.0931984531937335e+00,3.8796620233258556e+00
1.0999999999999999e-01,2.2233618685543841e+00,1.1015355329054981e+00,3.8653747378310856e+00
1.1999999999999998e-01,2.2436815999250843e+00,1.1096442162032878e+00,3.8506805244460098e+00
1.2999999999999998e-01,2.2639407566229011e+00,1.1175113671384305e+00,3.8355819213486559e+00
1.3999999999999999e-01,2.2841236249988421e+00,1.1251236946350611e+00,3.8200820974074636e+00
1.4999999999999999e-01,2.3042142006022481e+00,1.1324677795395670e+00,3.8041848734078689e+00
1.6000000000000000e-01,2.3241962097935884e+00,1.1395301035206769e+00,3.7878947421498563e+00
1.7000000000000001e-01,2.3440531332409855e+00,1.1462970797902647e+00,3.7712168872534724e+00
1.8000000000000002e-01,2.3637682312784802e+00,1.1527550856010489e+00,3.7541572005066888e+00
1.9000000000000003e-01,2.3833245710907236e+00,1.1588904964629199e+00,3.7367222975887420e+00
2.0000000000000004e-01,2.4027050556748999e+00,1.1646897220045671e+00,3.7189195320021122e+00
2.1000000000000005e-01,2.4218924545162688e+00,1.1701392433916191e+00,3.7007570070475992e+00
2.2000000000000006e-01,2.4408694358990419e+00,1.1752256521967617e+00,3.6822435856799420e+00
2.3000000000000007e-01,2.4596186007593217e+00,1.1799356906013663e+00,3.6633888980858083e+00
2.4000000000000007e-01,2.4781225179718840e+00,1.1842562927922666e+00,3.6442033468321058e+00
2.5000000000000006e-01,2.4963637609476068e+00,1.1881746274015850e+00,3.6246981094403345e+00
2.6000000000000006e-01,2.5143249454038203e+00,1.1916781408221591e+00,3.6048851382521865e+00
2.7000000000000007e-01,2.5319887681555486e+00,1.1947546012162900e+00,3.5847771574627627e+00
2.8000000000000008e-01,2.5493380467621929e+00,1.1973921430214731e+00,3.5643876572107609e+00
2.9000000000000009e-01,2.5663557598513616e+00,1.1995793117436966e+00,3.5437308846294631e+00
3.0000000000000010e-01,2.5830250879299466e+00,1.2013051088168625e+00,3.5228218317786766e+00
3.1000000000000011e-01,2.5993294544820222e+00,1.2025590362963481e+00,3.5016762203953276e+00
3.2000000000000012e-01,2.6152525671439748e+00,1.2033311411456129e+00,3.4803104834196565e+00
3.3000000000000013e-01,2.6307784587398362e+00,1.2036120588674175e+00,3.4587417432742380e+00
3.4000000000000014e-01,2.6458915279538631e+00,1.2033930562257660e+00,3.4369877868946030e+00
3.5000000000000014e-01,2.6605765794135023e+00,1.2026660728012597e+00,3.4150670375325816e+00
3.6000000000000015e-01,2.6748188629538681e+00,1.2014237611213170e+00,3.3929985233766198e+00
3.7000000000000016e-01,2.6886041118350588e+00,1.1996595251077242e+00,3.3708018430568480e+00
3.8000000000000017e-01,2.7019185796858154e+00,1.1973675565874058e+00,3.3484971281265610e+00
3.9000000000000018e-01,2.7147490759516204e+00,1.1945428696180476e+00,3.3261050026354630e+00
4.0000000000000019e-01,2.7270829996320423e+00,1.1911813323884914e+00,3.3036465399335295e+00
4.1000000000000020e-01,2.7389083711010875e+00,1.1872796964644103e+00,3.2811432168673056e+00
4.2000000000000021e-01,2.7502138618154568e+00,1.1828356231628043e+00,3.2586168655523799e+00
4.3000000000000022e-01,2.7609888217288252e+00,1.1778477068541213e+00,3.2360896229268672e+00
4.4000000000000022e-01,2.7712233042455243e+00,1.1723154950082766e+00,3.2135838783101431e+00
4.5000000000000023e-01,2.7809080885639559e+00,1.1662395048203029e+00,3.1911222192090882e+00
4.6000000000000024e-01,2.7900346992788885e+00,1.1596212362726628e+00,3.1687273756301129e+00
4.7000000000000025e-01,2.7985954231318884e+00,1.1524631815141948e+00,3.1464221631691811e+00
4.8000000000000026e-01,2.8065833228205830e+00,1.1447688304599657e+00,3.1242294251638101e+00
4.9000000000000027e-01,2.8139922477998689e+00,1.1365426725417513e+00,3.1021719742002749e+00
5.0000000000000022e-01,2.8208168420312614e+00,1.1277901945651754e+00,3.0802725332759575e+00
5.1000000000000023e-01,2.8270525486602014e+00,1.1185178746563917e+00,3.0585536769209245e+00
