time,x,y,z
0.0000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.0000e-02,2.02004814e+00,1.00994832e+00,3.98979952e+00
2.0000e-02,2.04018504e+00,1.01978643e+00,3.97919624e+00
3.0000e-02,2.06039913e+00,1.02950387e+00,3.96818769e+00
4.0000e-02,2.08067830e+00,1.03908977e+00,3.95677183e+00
5.0000e-02,2.10101016e+00,1.04853299e+00,3.94494698e+00
6.0000e-02,2.12138188e+00,1.05782210e+00,3.93271194e+00
7.0000e-02,2.14178022e+00,1.06694535e+00,3.92006593e+00
8.0000e-02,2.16219162e+00,1.07589073e+00,3.90700866e+00
9.0000e-02,2.18260198e+00,1.08464594e+00,3.89354044e+00
1.0000e-01,2.20299697e+00,1.09319845e+00,3.87966202e+00
1.1000e-01,2.22336186e+00,1.10153553e+00,3.86537474e+00
1.2000e-01,2.24368159e+00,1.10964421e+00,3.85068053e+00
1.3000e-01,2.26394074e+00,1.11751136e+00,3.83558194e+00
1.4000e-01,2.28412364e+00,1.12512370e+00,3.82008209e+00
1.5000e-01,2.30421421e+00,1.13246778e+00,3.80418487e+00
1.6000e-01,2.32419621e+00,1.13953010e+00,3.78789474e+00
1.7000e-01,2.34405312e+00,1.14629708e+00,3.77121690e+00
1.8000e-01,2.36376821e+00,1.15275508e+00,3.75415722e+00
1.9000e-01,2.38332459e+00,1.15889050e+00,3.73672228e+00
2.0000e-01,2.40270506e+00,1.16468972e+00,3.71891953e+00
2.1000e-01,2.42189245e+00,1.17013924e+00,3.70075701e+00
2.2000e-01,2.44086943e+00,1.17522565e+00,3.68224359e+00
2.3000e-01,2.45961858e+00,1.17993569e+00,3.66338891e+00
2.4000e-01,2.47812253e+00,1.18425630e+00,3.64420333e+00
2.5000e-01,2.49636377e+00,1.18817463e+00,3.62469810e+00
2.6000e-01,2.51432495e+00,1.19167814e+00,3.60488514e+00
2.7000e-01,2.53198876e+00,1.19475460e+00,3.58477716e+00
2.8000e-01,2.54933803e+00,1.19739214e+00,3.56438767e+00
2.9000e-01,2.56635578e+00,1.19957931e+00,3.54373086e+00
3.0000e-01,2.58302510e+00,1.20130511e+00,3.52282182e+00
3.1000e-01,2.59932946e+00,1.20255904e+00,3.50167622e+00
3.2000e-01,2.61525256e+00,1.20333114e+00,3.48031049e+00
3.3000e-01,2.63077846e+00,1.20361206e+00,3.45874174e+00
3.4000e-01,2.64589154e+00,1.20339306e+00,3.43698777e+00
3.5000e-01,2.66057657e+00,1.20266607e+00,3.41506706e+00
3.6000e-01,2.67481886e+00,1.20142376e+00,3.39299853e+00
3.7000e-01,2.68860411e+00,1.19965953e+00,3.37080184e+00
3.8000e-01,2.70191859e+00,1.19736756e+00,3.34849712e+00
3.9000e-01,2.71474909e+00,1.19454287e+00,3.32610498e+00
4.0000e-01,2.72708299e+00,1.19118134e+00,3.30364656e+00
4.1000e-01,2.73890837e+00,1.18727970e+00,3.28114323e+00
4.2000e-01,2.75021386e+00,1.18283562e+00,3.25861686e+00
4.3000e-01,2.76098883e+00,1.17784770e+00,3.23608961e+00
4.4000e-01,2.77122331e+00,1.17231549e+00,3.21358386e+00
4.5000e-01,2.78090808e+00,1.16623951e+00,3.19112224e+00
4.6000e-01,2.79003470e+00,1.15962124e+00,3.16872738e+00
4.7000e-01,2.79859542e+00,1.15246318e+00,3.14642216e+00
4.8000e-01,2.80658333e+00,1.14476883e+00,3.12422941e+00
4.9000e-01,2.81399226e+00,1.13654266e+00,3.10217195e+00
5.0000e-01,2.82081684e+00,1.12779020e+00,3.08027255e+00
5.1000e-01,2.82705255e+00,1.11851788e+00,3.05855368e+00
5.2000e-01,2.83269561e+00,1.10873317e+00,3.03703777e+00
5.3000e-01,2.83774308e+00,1.09844451e+00,3.01574691e+00
5.4000e-01,2.84219278e+00,1.08766127e+00,2.99470288e+00
5.5000e-01,2.84604334e+00,1.07639378e+00,2.97392714e+00
5.6000e-01,2.84929417e+00,1.06465320e+00,2.95344056e+00
5.7000e-01,2.85194544e+00,1.05245164e+00,2.93326366e+00
5.8000e-01,2.85399805e+00,1.03980203e+00,2.91341640e+00
5.9000e-01,2.85545367e+00,1.02671814e+00,2.89391818e+00
6.0000e-01,2.85631465e+00,1.01321441e+00,2.87478764e+00
6.1000e-01,2.85658403e+00,9.99306110e-01,2.85604287e+00
6.2000e-01,2.85626554e+00,9.85009193e-01,2.83770125e+00
6.3000e-01,2.85536351e+00,9.70340182e-01,2.81977931e+00
6.4000e-01,2.85388292e+00,9.55316292e-01,2.80229290e+00
6.5000e-01,2.85182931e+00,9.39955185e-01,2.78525694e+00
6.6000e-01,2.84920879e+00,9.24275123e-01,2.76868563e+00
6.7000e-01,2.84602798e+00,9.08294736e-01,2.75259218e+00
6.8000e-01,2.84229398e+00,8.92033044e-01,2.73698895e+00
6.9000e-01,2.83801439e+00,8.75509493e-01,2.72188744e+00
7.0000e-01,2.83319720e+00,8.58743704e-01,2.70729814e+00
7.1000e-01,2.82785082e+00,8.41755646e-01,2.69323068e+00
7.2000e-01,2.82198400e+00,8.24565354e-01,2.67969367e+00
7.3000e-01,2.81560587e+00,8.07193107e-01,2.66669488e+00
7.4000e-01,2.80872582e+00,7.89659145e-01,2.65424102e+00
7.5000e-01,2.80135354e+00,7.71983851e-01,2.64233794e+00
7.6000e-01,2.79349894e+00,7.54187465e-01,2.63099049e+00
7.7000e-01,2.78517218e+00,7.36290271e-01,2.62020266e+00
7.8000e-01,2.77638357e+00,7.18312344e-01,2.60997746e+00
7.9000e-01,2.76714361e+00,7.00273592e-01,2.60031701e+00
8.0000e-01,2.75746293e+00,6.82193801e-01,2.59122258e+00
8.1000e-01,2.74735227e+00,6.64092402e-01,2.58269452e+00
8.2000e-01,2.73682246e+00,6.45988583e-01,2.57473236e+00
8.3000e-01,2.72588441e+00,6.27901200e-01,2.56733482e+00
8.4000e-01,2.71454909e+00,6.09848758e-01,2.56049982e+00
8.5000e-01,2.70282745e+00,5.91849293e-01,2.55422446e+00
8.6000e-01,2.69073052e+00,5.73920478e-01,2.54850516e+00
8.7000e-01,2.67826928e+00,5.56079500e-01,2.54333759e+00
8.8000e-01,2.66545475e+00,5.38343080e-01,2.53871677e+00
8.9000e-01,2.65229785e+00,5.20727362e-01,2.53463702e+00
9.0000e-01,2.63880951e+00,5.03248021e-01,2.53109210e+00
9.1000e-01,2.62500062e+00,4.85920175e-01,2.52807513e+00
9.2000e-01,2.61088195e+00,4.68758309e-01,2.52557873e+00
9.3000e-01,2.59646426e+00,4.51776384e-01,2.52359496e+00
9.4000e-01,2.58175823e+00,4.34987761e-01,2.52211542e+00
9.5000e-01,2.56677440e+00,4.18405128e-01,2.52113127e+00
9.6000e-01,2.55152330e+00,4.02040618e-01,2.52063324e+00
9.7000e-01,2.53601533e+00,3.85905737e-01,2.52061168e+00
9.8000e-01,2.52026079e+00,3.70011301e-01,2.52105660e+00
9.9000e-01,2.50426988e+00,3.54367555e-01,2.52195769e+00
1.0000e+00,2.48805275e+00,3.38984109e-01,2.52330438e+00
1.0100e+00,2.47161935e+00,3.23869885e-01,2.52508584e+00
1.0200e+00,2.45497962e+00,3.09033231e-01,2.52729101e+00
1.0300e+00,2.43814335e+00,2.94481872e-01,2.52990866e+00
1.0400e+00,2.42112021e+00,2.80222859e-01,2.53292741e+00
1.0500e+00,2.40391979e+00,2.66262683e-01,2.53633574e+00
1.0600e+00,2.38655160e+00,2.52607234e-01,2.54012204e+00
1.0700e+00,2.36902494e+00,2.39261757e-01,2.54427463e+00
1.0800e+00,2.35134910e+00,2.26230963e-01,2.54878179e+00
1.0900e+00,2.33353326e+00,2.13518993e-01,2.55363176e+00
1.1000e+00,2.31558642e+00,2.01129383e-01,2.55881280e+00
1.1100e+00,2.29751753e+00,1.89065172e-01,2.56431321e+00
1.1200e+00,2.27933545e+00,1.77328868e-01,2.57012131e+00
1.1300e+00,2.26104885e+00,1.65922421e-01,2.57622552e+00
1.1400e+00,2.24266638e+00,1.54847327e-01,2.58261432e+00
1.1500e+00,2.22419657e+00,1.44104597e-01,2.58927632e+00
1.1600e+00,2.20564778e+00,1.33694742e-01,2.59620024e+00
1.1700e+00,2.18702833e+00,1.23617855e-01,2.60337496e+00
1.1800e+00,2.16834639e+00,1.13873592e-01,2.61078950e+00
1.1900e+00,2.14961006e+00,1.04461193e-01,2.61843305e+00
1.2000e+00,2.13082733e+00,9.53795172e-02,2.62629497e+00
1.2100e+00,2.11200601e+00,8.66270126e-02,2.63436486e+00
1.2200e+00,2.09315391e+00,7.82018128e-02,2.64263247e+00
1.2300e+00,2.07427864e+00,7.01016774e-02,2.65108779e+00
1.2400e+00,2.05538775e+00,6.23240563e-02,2.65972103e+00
1.2500e+00,2.03648862e+00,5.48660867e-02,2.66852264e+00
1.2600e+00,2.01758862e+00,4.77246438e-02,2.67748328e+00
1.2700e+00,1.99869487e+00,4.08962937e-02,2.68659388e+00
1.2800e+00,1.97981450e+00,3.43773928e-02,2.69584559e+00
1.2900e+00,1.96095442e+00,2.81640292e-02,2.70522983e+00
1.3000e+00,1.94212148e+00,2.22520909e-02,2.71473828e+00
1.3100e+00,1.92332237e+00,1.66372574e-02,2.72436286e+00
1.3200e+00,1.90456371e+00,1.13150309e-02,2.73409575e+00
1.3300e+00,1.88585195e+00,6.28073891e-03,2.74392939e+00
1.3400e+00,1.86719345e+00,1.52955966e-03,2.75385646e+00
1.3500e+00,1.84859436e+00,-2.94348294e-03,2.76386997e+00
1.3600e+00,1.83006085e+00,-7.14346233e-03,2.77396308e+00
1.3700e+00,1.81159879e+00,-1.10755905e-02,2.78412930e+00
1.3800e+00,1.79321407e+00,-1.47451527e-02,2.79436232e+00
1.3900e+00,1.77491235e+00,-1.81575350e-02,2.80465614e+00
1.4000e+00,1.75669913e+00,-2.13181960e-02,2.81500500e+00
1.4100e+00,1.73857993e+00,-2.42326293e-02,2.82540333e+00
1.4200e+00,1.72055994e+00,-2.69064060e-02,2.83584588e+00
1.4300e+00,1.70264435e+00,-2.93451142e-02,2.84632758e+00
1.4400e+00,1.68483819e+00,-3.15543688e-02,2.85684359e+00
1.4500e+00,1.66714630e+00,-3.35398108e-02,2.86738935e+00
1.4600e+00,1.64957337e+00,-3.53070813e-02,2.87796050e+00
1.4700e+00,1.63212407e+00,-3.68618106e-02,2.88855284e+00
1.4800e+00,1.61480282e+00,-3.82096271e-02,2.89916247e+00
1.4900e+00,1.59761390e+00,-3.93561372e-02,2.90978566e+00
1.5000e+00,1.58056154e+00,-4.03069125e-02,2.92041885e+00
1.5100e+00,1.56364975e+00,-4.10674963e-02,2.93105872e+00
1.5200e+00,1.54688242e+00,-4.16433872e-02,2.94170212e+00
1.5300e+00,1.53026327e+00,-4.20400357e-02,2.95234612e+00
1.5400e+00,1.51379597e+00,-4.22628356e-02,2.96298789e+00
1.5500e+00,1.49748400e+00,-4.23171226e-02,2.97362482e+00
1.5600e+00,1.48133069e+00,-4.22081665e-02,2.98425448e+00
1.5700e+00,1.46533924e+00,-4.19411668e-02,2.99487457e+00
1.5800e+00,1.44951274e+00,-4.15212487e-02,3.00548295e+00
1.5900e+00,1.43385412e+00,-4.09534587e-02,3.01607763e+00
1.6000e+00,1.41836620e+00,-4.02427608e-02,3.02665678e+00
1.6100e+00,1.40305166e+00,-3.93940339e-02,3.03721866e+00
1.6200e+00,1.38791304e+00,-3.84120681e-02,3.04776170e+00
1.6300e+00,1.37295277e+00,-3.73015619e-02,3.05828444e+00
1.6400e+00,1.35817313e+00,-3.60671180e-02,3.06878556e+00
1.6500e+00,1.34357634e+00,-3.47132506e-02,3.07926378e+00
1.6600e+00,1.32916445e+00,-3.32443689e-02,3.08971800e+00
1.6700e+00,1.31493937e+00,-3.16647852e-02,3.10014719e+00
