time,x,y,z
0.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00
1.0000000000000000e-02,2.0200481495775806e+00,1.0099483192160794e+00,3.9897995143664167e+00
2.0000000000000000e-02,2.0401850598727513e+00,1.0197864416433498e+00,3.9791962330764128e+00
2.9999999999999999e-02,2.0603991157230417e+00,1.0295038654578781e+00,3.9681876963015692e+00
4.0000000000000001e-02,2.0806782929954983e+00,1.0390897633167953e+00,3.9567718328217678e+00
5.0000000000000003e-02,2.1010101610593570e+00,1.0485329917112383e+00,3.9449469847445870e+00
6.0000000000000005e-02,2.1213818867324190e+00,1.0578221018921563e+00,3.9327119324088229e+00
7.0000000000000007e-02,2.1417802397716859e+00,1.0669453524304042e+00,3.9200659193745055e+00
8.0000000000000002e-02,2.1621915999747885e+00,1.0758907234675101e+00,3.9070086773934816e+00
8.9999999999999997e-02,2.1826019659539577e+00,1.0846459327075515e+00,3.8935404512466461e+00
9.9999999999999992e-02,2.2029969656383837e+00,1.0931984531937318e+00,3.8796620233258614e+00
1.0999999999999999e-01,2.2233618685543872e+00,1.1015355329054959e+00,3.8653747378310892e+00
1.1999999999999998e-01,2.2436815999250865e+00,1.1096442162032860e+00,3.8506805244460134e+00
1.2999999999999998e-01,2.2639407566229051e+00,1.1175113671384278e+00,3.8355819213486577e+00
1.3999999999999999e-01,2.2841236249988466e+00,1.1251236946350585e+00,3.8200820974074681e+00
1.4999999999999999e-01,2.3042142006022508e+00,1.1324677795395639e+00,3.8041848734078738e+00
1.6000000000000000e-01,2.3241962097935911e+00,1.1395301035206746e+00,3.7878947421498625e+00
1.7000000000000001e-01,2.3440531332409882e+00,1.1462970797902627e+00,3.7712168872534808e+00
1.8000000000000002e-01,2.3637682312784825e+00,1.1527550856010462e+00,3.7541572005066950e+00
1.9000000000000003e-01,2.3833245710907272e+00,1.1588904964629179e+00,3.7367222975887500e+00
2.0000000000000004e-01,2.4027050556749021e+00,1.1646897220045660e+00,3.7189195320021189e+00
2.1000000000000005e-01,2.4218924545162701e+00,1.1701392433916191e+00,3.7007570070476064e+00
2.2000000000000006e-01,2.4408694358990415e+00,1.1752256521967634e+00,3.6822435856799496e+00
2.3000000000000007e-01,2.4596186007593230e+00,1.1799356906013685e+00,3.6633888980858171e+00
2.4000000000000007e-01,2.4781225179718853e+00,1.1842562927922693e+00,3.6442033468321156e+00
2.5000000000000006e-01,2.4963637609476077e+00,1.1881746274015885e+00,3.6246981094403443e+00
2.6000000000000006e-01,2.5143249454038212e+00,1.1916781408221635e+00,3.6048851382521985e+00
2.7000000000000007e-01,2.5319887681555486e+00,1.1947546012162926e+00,3.5847771574627769e+00
2.8000000000000008e-01,2.5493380467621942e+00,1.1973921430214773e+00,3.5643876572107742e+00
2.9000000000000009e-01,2.5663557598513607e+00,1.1995793117437008e+00,3.5437308846294790e+00
3.0000000000000010e-01,2.5830250879299452e+00,1.2013051088168674e+00,3.5228218317786912e+00
3.1000000000000011e-01,2.5993294544820169e+00,1.2025590362963527e+00,3.5016762203953444e+00
3.2000000000000012e-01,2.6152525671439637e+00,1.2033311411456171e+00,3.4803104834196739e+00
3.3000000000000013e-01,2.6307784587398237e+00,1.2036120588674222e+00,3.4587417432742544e+00
3.4000000000000014e-01,2.6458915279538511e+00,1.2033930562257706e+00,3.4369877868946204e+00
3.5000000000000014e-01,2.6605765794134890e+00,1.2026660728012653e+00,3.4150670375326015e+00
3.6000000000000015e-01,2.6748188629538556e+00,1.2014237611213219e+00,3.3929985233766402e+00
3.7000000000000016e-01,2.6886041118350472e+00,1.1996595251077311e+00,3.3708018430568676e+00
3.8000000000000017e-01,2.7019185796858030e+00,1.1973675565874149e+00,3.3484971281265845e+00
3.9000000000000018e-01,2.7147490759516080e+00,1.1945428696180576e+00,3.3261050026354875e+00
4.0000000000000019e-01,2.7270829996320303e+00,1.1911813323885012e+00,3.3036465399335588e+00
4.1000000000000020e-01,2.7389083711010751e+00,1.1872796964644214e+00,3.2811432168673353e+00
4.2000000000000021e-01,2.7502138618154426e+00,1.1828356231628159e+00,3.2586168655524128e+00
4.3000000000000022e-01,2.7609888217288123e+00,1.1778477068541335e+00,3.2360896229269027e+00
4.4000000000000022e-01,2.7712233042455132e+00,1.1723154950082890e+00,3.2135838783101813e+00
4.5000000000000023e-01,2.7809080885639470e+00,1.1662395048203162e+00,3.1911222192091291e+00
4.6000000000000024e-01,2.7900346992788796e+00,1.1596212362726779e+00,3.1687273756301542e+00
4.7000000000000025e-01,2.7985954231318777e+00,1.1524631815142123e+00,3.1464221631692229e+00
4.8000000000000026e-01,2.8065833228205741e+00,1.1447688304599861e+00,3.1242294251638540e+00
4.9000000000000027e-01,2.8139922477998627e+00,1.1365426725417713e+00,3.1021719742003238e+00
5.0000000000000022e-01,2.8208168420312543e+00,1.1277901945651960e+00,3.0802725332760104e+00
5.1000000000000023e-01,2.8270525486601974e+00,1.1185178746564124e+00,3.0585536769209756e+00
5.2000000000000024e-01,2.8326956116248736e+00,1.1087331723083167e+00,3.0370377725842479e+00
5.3000000000000025e-01,2.8377430742236545e+00,1.0984445145633934e+00,3.0157469225889413e+00
5.4000000000000026e-01,2.8421927746915436e+00,1.0876612783969763e+00,2.9947029069564053e+00
5.5000000000000027e-01,2.8460433388584678e+00,1.0763937693908519e+00,2.9739271273929524e+00
5.6000000000000028e-01,2.8492941699838030e+00,1.0646531968122401e+00,2.9534405527235332e+00
5.7000000000000028e-01,2.8519454358818574e+00,1.0524516452371619e+00,2.9332636660451792e+00
5.8000000000000029e-01,2.8539980534719529e+00,1.0398020428797108e+00,2.9134164138591712e+00
5.9000000000000030e-01,2.8554536709039007e+00,1.0267181268095584e+00,2.8939181574250399e+00
6.0000000000000031e-01,2.8563146474251742e+00,1.0132144052589791e+00,2.8747876265617074e+00
6.1000000000000032e-01,2.8565840311693895e+00,9.9930611723756224e-01,2.8560428761017289e+00
6.2000000000000033e-01,2.8562655350570911e+00,9.8500918968748874e-01,2.8377012451837942e+00
6.3000000000000034e-01,2.8553635110089970e+00,9.7034019242469460e-01,2.8197793195468570e+00
6.4000000000000035e-01,2.8538829226786513e+00,9.5531629112122962e-01,2.8022928969663643e+00
6.5000000000000036e-01,2.8518293169161555e+00,9.3995519859182886e-01,2.7852569559499356e+00
6.6000000000000036e-01,2.8492087941770370e+00,9.2427512465292239e-01,2.7686856277860166e+00
6.7000000000000037e-01,2.8460279780904791e+00,9.0829472482515450e-01,2.7525921720154338e+00
6.8000000000000038e-01,2.8422939843992259e+00,8.9203304815105555e-01,2.7369889553722158e+00
6.9000000000000039e-01,2.8380143894795857e+00,8.7550948439776810e-01,2.7218874342169688e+00
7.0000000000000040e-01,2.8331971986440627e+00,8.5874371091091228e-01,2.7072981404636440e+00
7.1000000000000041e-01,2.8278508144216175e+00,8.4175563937984876e-01,2.6932306709788940e+00
7.2000000000000042e-01,2.8219840050014113e+00,8.2456536276690284e-01,2.6796936804127194e+00
7.3000000000000043e-01,2.8156058730152971e+00,8.0719310264376842e-01,2.6666948773996060e+00
7.4000000000000044e-01,2.8087258248226217e+00,7.8965915716744928e-01,2.6542410240513417e+00
7.5000000000000044e-01,2.8013535404480985e+00,7.7198384991589397e-01,2.6423379386460182e+00
7.6000000000000045e-01,2.7934989443099307e+00,7.5418747979020040e-01,2.6309905014025543e+00
7.7000000000000046e-01,2.7851721768611908e+00,7.3629027217600074e-01,2.6202026632164936e+00
7.8000000000000047e-01,2.7763835672528403e+00,7.1831233154166241e-01,2.6099774572208623e+00
7.9000000000000048e-01,2.7671436071119513e+00,7.0027359563539249e-01,2.6003170130254714e+00
8.0000000000000049e-01,2.7574629255138228e+00,6.8219379142740877e-01,2.5912225734793544e+00
8.1000000000000050e-01,2.7473522652119202e+00,6.6409239292723021e-01,2.5826945137937956e+00
8.2000000000000051e-01,2.7368224601751869e+00,6.4598858098994927e-01,2.5747323628578527e+00
8.3000000000000052e-01,2.7258844144681671e+00,6.2790120520930803e-01,2.5673348265741556e+00
8.4000000000000052e-01,2.7145490824960321e+00,6.0984874797955535e-01,2.5604998130400536e+00
8.5000000000000053e-01,2.7028274506237628e+00,5.9184929079263315e-01,2.5542244593978620e+00
8.6000000000000054e-01,2.6907305201668019e+00,5.7392048282223196e-01,2.5485051601778776e+00
8.7000000000000055e-01,2.6782692917393289e+00,5.5607951183185633e-01,2.5433375969589505e+00
8.8000000000000056e-01,2.6654547509361266e+00,5.3834307743025700e-01,2.5387167691735342e+00
8.9000000000000057e-01,2.6522978553147483e+00,5.2072736668453712e-01,2.5346370258872724e+00
9.0000000000000058e-01,2.6388095226364801e+00,5.0324803208893520e-01,2.5310920983872336e+00
9.1000000000000059e-01,2.6250006203173561e+00,4.8592017187579656e-01,2.5280751334176306e+00
9.2000000000000060e-01,2.6108819560343046e+00,4.6875831264457762e-01,2.5255787269073191e+00
9.3000000000000060e-01,2.5964642694262832e+00,4.5177639427490995e-01,2.5235949580394230e+00
9.4000000000000061e-01,2.5817582248261690e+00,4.3498775708077542e-01,2.5221154235198751e+00
9.5000000000000062e-01,2.5667744049557850e+00,4.1840513115473021e-01,2.5211312719086290e+00
9.6000000000000063e-01,2.5515233055142987e+00,4.0204062784382810e-01,2.5206332378844092e+00
9.7000000000000064e-01,2.5360153305886737e+00,3.8590573329243016e-01,2.5206116763213995e+00
9.8000000000000065e-01,2.5202607888143058e+00,3.7001130398142207e-01,2.5210565960638038e+00
9.9000000000000066e-01,2.5042698902140925e+00,3.5436756418846466e-01,2.5219576932919212e+00
1.0000000000000007e+00,2.4880527436450390e+00,3.3898410528973327e-01,2.5233043843811345e+00
1.0100000000000007e+00,2.4716193547829621e+00,3.2386988682014806e-01,2.5250858381628949e+00
1.0200000000000007e+00,2.4549796245778945e+00,3.0903323920629577e-01,2.5272910075044681e+00
1.0300000000000007e+00,2.4381433481153216e+00,2.9448186808407278e-01,2.5299086601317291e+00
1.0400000000000007e+00,2.4211202138213577e+00,2.8022286011149067e-01,2.5329274086267457e+00
1.0500000000000007e+00,2.4039198029532329e+00,2.6626269018604087e-01,2.5363357395390698e+00
1.0600000000000007e+00,2.3865515893201286e+00,2.5260722997548946e-01,2.5401220415567480e+00
1.0700000000000007e+00,2.3690249391832214e+00,2.3926175767088806e-01,2.5442746326898340e+00
1.0800000000000007e+00,2.3513491112877829e+00,2.2623096887095692e-01,2.5487817864258071e+00
1.0900000000000007e+00,2.3335332569843543e+00,2.1351898850774112e-01,2.5536317568226039e+00
1.1000000000000008e+00,2.3155864204001833e+00,2.0112938372454325e-01,2.5588128025109875e+00
1.1100000000000008e+00,2.2975175386262863e+00,1.8906517761856667e-01,2.5643132095838581e+00
1.1200000000000008e+00,2.2793354418897711e+00,1.7732886376241092e-01,2.5701213133555112e+00
1.1300000000000008e+00,2.2610488536849971e+00,1.6592242142053654e-01,2.5762255189790997e+00
1.1400000000000008e+00,2.2426663908413209e+00,1.5484733137901047e-01,2.5826143209155297e+00
1.1500000000000008e+00,2.2241965635088805e+00,1.4410459230924758e-01,2.5892763212515857e+00
1.1600000000000008e+00,2.2056477750476549e+00,1.3369473758902981e-01,2.5962002468694654e+00
1.1700000000000008e+00,2.1870283218085187e+00,1.2361785250681298e-01,2.6033749654739871e+00
1.1800000000000008e+00,2.1683463927982567e+00,1.1387359177817638e-01,2.6107895004875101e+00
1.1900000000000008e+00,2.1496100692236144e+00,1.0446119730622642e-01,2.6184330448260624e+00
1.2000000000000008e+00,2.1308273239123170e+00,9.5379516120804073e-02,2.6262949735735126e+00
1.2100000000000009e+00,2.1120060206114988e+00,8.6627018434454070e-02,2.6343648555734727e+00
