time,distance
0.0,0.0
0.01,1.4142135537782532e-08
0.02,2.4494897732211403e-08
0.03,1.4142135537782532e-08
0.04,1.4142135851801027e-08
0.05,0.0
0.06,1.4142135537782532e-08
0.07,2.236068003630698e-08
0.08,3.0000000409794815e-08
0.09,1.7320507970423888e-08
0.1,0.0
0.11,1.00000003833145e-08
0.12,1.73205080986214e-08
0.13,3.0000000113735346e-08
0.14,2.4494897369614082e-08
0.15,9.99999993922529e-09
0.16,0.0
0.17,1.4142135851801027e-08
0.18,3.000000018775021e-08
0.19,2.8284271075565064e-08
0.2,0.0
0.21,0.0
0.22,1.00000003833145e-08
0.23,2.236068003630698e-08
0.24,2.4494897641562076e-08
0.25,1.4142135851801027e-08
0.26,0.0
0.27,9.99999993922529e-09
0.28,2.2360679639101514e-08
0.29,2.8284271075565064e-08
0.3,1.4142135537782532e-08
0.31,9.99999993922529e-09
0.32,1.4142135537782532e-08
0.33,0.0
0.34,2.2360679639101514e-08
0.35,2.236068003630698e-08
0.36,9.99999993922529e-09
0.37,0.0
0.38,1.4142135537782532e-08
0.39,2.236067983770425e-08
0.4,2.449489727896475e-08
0.41,9.99999993922529e-09
0.42,9.99999993922529e-09
0.43,1.7320507970423888e-08
0.44,2.4494897369614082e-08
0.45,2.449489727896475e-08
0.46,0.0
0.47,0.0
0.48,2.236068003630698e-08
0.49,2.4494897732211403e-08
0.5,2.236068003630698e-08
0.51,9.99999993922529e-09
0.52,0.0
0.53,1.4142135851801027e-08
0.54,3.3166247768936056e-08
0.55,1.4142135694791778e-08
0.56,1.00000003833145e-08
0.57,1.4142135694791778e-08
0.58,1.4142135694791778e-08
0.59,2.2360679738402882e-08
0.6,9.99999993922529e-09
0.61,1.2206555579748981e-08
0.62,3.000000026176508e-09
0.63,1.4142135537782532e-08
0.64,9.999999717180685e-10
0.65,2.6381811826910406e-08
0.66,1.999999943436137e-09
0.67,1.4866069021417017e-08
0.68,1.077032955705917e-08
0.69,1.3453624054433707e-08
0.7,7.000000024071085e-09
0.71,1.577973372245852e-08
0.72,1.6763054848813427e-08
0.73,3.999999997894577e-09
0.74,1.199999999368373e-08
0.75,9.999999717180685e-10
0.76,1.8027756360132918e-08
0.77,9.999999717180685e-10
0.78,1.199999999368373e-08
0.79,4.000000108916879e-09
0.8,1.4142135930305648e-08
0.81,1.3453623980163701e-08
0.82,1.999999943436137e-09
0.83,1.1180339819550757e-08
0.84,1.7320508290917673e-08
0.85,1.999999943436137e-09
0.86,4.999999969612645e-09
0.87,1.8547236993200804e-08
0.88,3.000000026176508e-09
0.89,1.4999999908837935e-08
0.9,1.4866068722690285e-08
0.91,3.000000026176508e-09
0.92,1.077032955705917e-08
0.93,1.4142135616287155e-08
0.94,1.077032955705917e-08
0.95,2.999999970665357e-09
0.96,1.4142135577034843e-08
0.97,4.000000053405728e-09
0.98,2.999999970665357e-09
0.99,1.3453624347387616e-08
1.0,1.077032955705917e-08
1.01,1.9999999989472883e-09
1.02,7.999999995789153e-09
1.03,3.999999997894577e-09
1.04,1.0000000272292198e-09
1.05,1.2206555943561039e-08
1.06,1.0770329969385653e-08
1.07,9.999999994736442e-10
1.08,1.166190373595187e-08
1.09,3.999999997894577e-09
1.1,9.999999994736442e-10
1.11,1.166190373595187e-08
1.12,1.077032955705917e-08
1.13,0.0
1.14,1.077032955705917e-08
1.15,1.1180339831963427e-08
1.16,1.077032955705917e-08
1.17,1.4282856771836676e-08
1.18,0.0
1.19,1.4696938377199196e-08
1.2,1.0060318025341921e-08
1.21,1.1560276764761234e-08
1.22,1.0440306450245193e-08
1.23,1.5999999936067155e-09
1.24,2.999999970665357e-10
1.25,2.0769207861598114e-08
1.26,3.999999984016789e-10
1.27,1.4696938675586578e-08
1.28,1.0071742589524975e-08
1.29,1.4327944638594702e-08
1.3,2.2617692055656674e-08
1.31,1.1000000008087873e-09
1.32,9.999999960041972e-11
1.33,1.4190451085469841e-08
1.34,1.4226823172044894e-08
1.35,2.264387100128555e-08
1.36,1.0899999999813836e-09
1.37,2.2664730371164882e-08
1.38,1.0007996741836746e-08
1.39,1.0307764005606337e-08
1.4,2.2489108537428553e-08
1.41,1.0060318026100623e-08
1.42,1.0017983768493148e-08
1.43,2.2468644881510556e-08
1.44,4.999999997368221e-10
1.45,2.2387719910837118e-08
1.46,1.4201760525334502e-08
1.47,1.000449914927285e-08
1.48,4.999999997368221e-10
1.49,2.2387719712474258e-08
1.5,1.0004499149064777e-08
1.51,1.000000013351432e-10
1.52,2.236425706168775e-08
1.53,1.414354968058953e-08
1.54,2.236090324478857e-08
1.55,9.99999993922529e-09
1.56,9.99999993922529e-09
1.57,1.0000499926742305e-08
1.58,1.000000013351432e-10
1.59,1.0000499926742305e-08
1.6,2.000000026702864e-10
1.61,1.4147791261102666e-08
1.62,1.4164744882100744e-08
1.63,1.4177446792986349e-08
1.64,1.4201760368349272e-08
1.65,2.239285586768738e-08
1.66,1.4177446949604538e-08
1.67,1.0024470000347937e-08
1.68,1.0012492136538366e-08
1.69,1.4221462567775615e-08
1.7,9.999999786569624e-11
1.71,1.421126305339455e-08
1.72,1.4221462880042521e-08
1.73,0.0
1.74,1.4243945997349407e-08
1.75,1.4232357726216369e-08
1.76,1.9999999920083944e-10
1.77,1.4282857082761317e-08
1.78,1.011788509430611e-08
1.79,3.7000000025627644e-10
1.8,1.4341004219023545e-08
1.81,1.0205719191929125e-08
1.82,1.0015113518325724e-08
1.83,1.451301476499311e-08
1.84,1.0012996493811497e-08
1.85,1.4312232600450157e-08
1.86,1.4243945997142368e-08
1.87,1.1999999986744836e-09
1.88,0.0
1.89,1.0239140529928435e-08
1.9,1.0412012448543188e-08
1.91,6.000000010719653e-10
1.92,1.0127191280268379e-08
1.93,1.4282856771836676e-08
1.94,2.300000002952718e-09
1.95,1.1948221544672432e-08
1.96,1.3152946388838428e-08
1.97,8.653900848914537e-09
1.98,1.2569805054654849e-08
1.99,1.2017071111706777e-08
2.0,0.0
2.01,1.2041594922810347e-08
2.02,5.59017001528308e-09
2.03,1.4124092830183833e-08
2.04,3.4481879536147107e-09
2.05,2.2825424868658035e-09
2.06,1.4318170282098287e-08
2.07,1.099272481120035e-08
2.08,4.000000053405728e-10
2.09,5.883026409734641e-09
2.1,2.1601852079007755e-08
2.11,1.311640191530543e-08
2.12,1.1180339835687229e-08
2.13,1.0630145731419688e-08
2.14,1.1180339831963427e-08
2.15,1.187434202235176e-08
2.16,1.4142135420025599e-09
2.17,3.6055512966602213e-09
2.18,1.3114877024770167e-08
2.19,1.039230479721071e-08
2.2,2.8284270840051198e-09
2.21,2.2022715448251986e-08
2.22,1.118033980962062e-08
2.23,1.0246950703684052e-08
2.24,9.999999994736442e-10
2.25,3.605551304358233e-09
2.26,0.0
2.27,1.0246950703684052e-08
2.28,1.1575836827163437e-08
2.29,2.109502298941904e-08
2.3,1.0630145773196086e-08
2.31,9.999999994736442e-10
2.32,1.0488088431192415e-08
2.33,2.2360680135608357e-09
2.34,1.1357817017971231e-08
2.35,1.1224972112378221e-08
2.36,9.999999994736442e-10
2.37,1.9999999989472883e-09
2.38,2.1189620403631794e-08
2.39,1.1224972498113682e-08
2.4,9.999999994736442e-10
2.41,3.999999997894577e-09
2.42,1.2806248771553542e-08
2.43,4.123105616715724e-09
2.44,9.999999994736442e-10
2.45,1.1224972102487568e-08
2.46,1.1832159503672723e-08
2.47,2.2360679639101515e-09
2.48,2.2360679639101515e-09
2.49,2.1400934438825826e-08
2.5,1.1832159522438916e-08
2.51,0.0
2.52,1.0630145773196086e-08
2.53,1.4035669134878376e-08
2.54,1.095445110379777e-08
2.55,0.0
2.56,1.1575836867924617e-08
2.57,1.3747727027158297e-08
2.58,3.6055512658681752e-09
2.59,2.2360679639101515e-09
2.6,1.3190905883997176e-08
2.61,1.2845232543813974e-08
2.62,1.414213522376404e-09
2.63,5.000000014021566e-09
2.64,2.374868409145234e-08
2.65,1.2328827954423113e-08
2.66,0.0
2.67,1.2247448639482376e-08
2.68,1.5652475814754132e-08
2.69,1.118033980962062e-08
2.7,2.8284272017620538e-09
2.71,1.4071247232613748e-08
2.72,1.2247448684807041e-08
2.73,1.187434202235176e-08
2.74,1.414213561628716e-09
2.75,1.4071247260228789e-08
2.76,5.656854246514862e-09
2.77,1.414213522376404e-09
2.78,1.0630145825416584e-08
2.79,1.1180339839411031e-08
2.8,1.0392305630494544e-08
2.81,1.624807727902619e-08
2.82,1.1180339824515826e-08
2.83,4.472136051947011e-09
2.84,1.7378147187835676e-08
2.85,3.6055512966602213e-09
2.86,3.000000026176508e-09
2.87,1.7320508002473265e-08
2.88,1.9999999989472883e-09
2.89,4.999999969612645e-09
2.9,1.7916472902664266e-08
2.91,1.0000000272292198e-09
2.92,1.1180339844376098e-08
2.93,1.5779733887798705e-08
2.94,1.2206555761655009e-08
2.95,1.077032955705917e-08
2.96,1.999999943436137e-09
2.97,2.0000000544584395e-09
2.98,1.1661903954913799e-08
2.99,1.3453624054433707e-08
3.0,3.000000026176508e-09
3.01,9.999999717180685e-10
3.02,1.469693837342214e-08
3.03,1.2806248598165833e-08
3.04,4.999999969612645e-09
3.05,9.999999717180685e-10
3.06,3.000000026176508e-09
3.07,1.1661903764512122e-08
3.08,2.2825424325108785e-08
3.09,1.04403064582207e-08
3.1,1.0049875557833637e-08
3.11,1.1180339869201441e-08
3.12,1.41421357732964e-08
3.13,4.999999969612645e-09
3.14,0.0
3.15,1.0770329763222412e-08
3.16,1.2806248424778128e-08
3.17,2.332380747190374e-08
3.18,3.000000026176508e-09
3.19,1.0198038978271243e-08
3.2,1.1661903954913799e-08
3.21,2.2825424325108785e-08
3.22,1.1180339819550757e-08
3.23,9.999999717180685e-10
3.24,1.1180339819550757e-08
3.25,2.410394163242691e-08
3.26,3.310589077084635e-08
3.27,1.04403064582207e-08
3.28,9.999999717180685e-10
3.29,9.999999717180685e-10
3.3,3.000000026176508e-09
3.31,1.1180339869201441e-08
3.32,1.2206555579748981e-08
3.33,1.6248076732390147e-08
3.34,2.2360679639101514e-08
3.35,2.5377155133165e-08
3.36,3.999999997894577e-09
3.37,2.0000000544584395e-09
3.38,0.0
3.39,1.999999943436137e-09
3.4,1.0770329763222412e-08
3.41,1.499999994584537e-08
3.42,1.5779733771708786e-08
3.43,2.193171207528389e-08
3.44,2.2825424271605056e-08
3.45,1.7320508611411462e-08
3.46,1.0000000161269895e-08
3.47,0.0
3.48,0.0
3.49,9.99999993922529e-09
3.5,1.4142135537782532e-08
3.51,1.7320507970423888e-08
3.52,1.7320507970423888e-08
3.53,2.449489727896475e-08
3.54,3.316624770198709e-08
3.55,9.99999993922529e-09
3.56,1.4142135694791778e-08
3.57,0.0
3.58,1.4142135537782532e-08
3.59,9.99999993922529e-09
3.6,1.4142135537782532e-08
3.61,2.449489727896475e-08
3.62,1.4142135537782532e-08
3.63,1.4142135537782532e-08
3.64,0.0
3.65,1.7320508226818918e-08
3.66,9.99999993922529e-09
3.67,1.4142135537782532e-08
3.68,2.2360679639101514e-08
3.69,9.99999993922529e-09
3.7,9.99999993922529e-09
3.71,2.4494897550912746e-08
3.72,1.4142135537782532e-08
3.73,2.449489727896475e-08
3.74,3.605551290501812e-08
3.75,0.0
3.76,2.8284271075565064e-08
3.77,0.0
3.78,2.8284271075565064e-08
3.79,2.8284271075565064e-08
3.8,2.2360680234909713e-08
3.81,1.4142135537782532e-08
3.82,1.4142135851801027e-08
3.83,0.0
3.84,0.0
3.85,0.0
3.86,9.99999993922529e-09
3.87,1.4142135851801027e-08
3.88,1.73205080986214e-08
3.89,2.8284271075565064e-08
3.9,2.236068003630698e-08
3.91,2.449489727896475e-08
3.92,1.7320507970423888e-08
3.93,9.99999993922529e-09
3.94,9.99999993922529e-09
3.95,1.4142135851801027e-08
3.96,0.0
3.97,0.0
3.98,0.0
3.99,9.99999993922529e-09
4.0,2.236068003630698e-08
4.01,2.2360679738402882e-08
4.02,2.236068003630698e-08
4.03,2.2360679639101514e-08
4.04,2.2360679639101514e-08
4.05,2.2360680135608345e-08
4.06,1.4142135537782532e-08
4.07,0.0
4.08,9.99999993922529e-09
4.09,0.0
4.1,1.4142135537782532e-08
4.11,0.0
4.12,1.2806248424778128e-08
4.13,1.2206555516081872e-08
4.14,3.000000026176508e-09
4.15,1.9899748714920807e-08
4.16,1.999999943436137e-09
4.17,1.2806248424778128e-08
4.18,1.6763054583892014e-08
4.19,2.0000000544584395e-09
4.2,1.7204650447593003e-08
4.21,1.469693837342214e-08
4.22,1.6763054524284694e-08
4.23,1.0000000050247593e-08
4.24,9.999999717180685e-10
4.25,1.989974863681368e-08
4.26,5.000000080634948e-09
4.27,1.2206555943561039e-08
4.28,2.3685438438518444e-08
4.29,0.0
4.3,1.562049959235298e-08
4.31,9.999999717180685e-10
4.32,1.400000004814217e-08
4.33,3.000000026176508e-09
4.34,1.8027756360132918e-08
4.35,5.000000080634948e-09
4.36,2.135415664879561e-08
4.37,1.1661903764512122e-08
4.38,1.972308286086591e-08
4.39,7.999999995789153e-09
4.4,1.9999999989472883e-09
4.41,1.2806248459455668e-08
4.42,9.999999717180685e-10
4.43,1.4142135577034843e-08
4.44,1.0000000272292198e-09
4.45,1.4866068722690285e-08
4.46,1.0049875563357203e-08
4.47,2.3323807500463993e-08
4.48,3.000000026176508e-09
4.49,1.6401219402378365e-08
4.5,1.1180340216756223e-08
4.51,2.441311112766441e-08
4.52,1.536229141538182e-08
4.53,2.6381811812181393e-08
4.54,1.1661903750231996e-08
4.55,2.638181179745238e-08
4.56,6.999999996315509e-09
4.57,2.6925823918418335e-08
4.58,1.577973375939622e-08
4.59,2.6925823933880578e-08
4.6,2.374868404470352e-08
4.61,3.5440090249623204e-08
4.62,2.5377154958169337e-08
4.63,1.127120218898172e-08
4.64,2.496417456558989e-08
4.65,1.0846197434550537e-08
4.66,1.0143470746785855e-08
4.67,1.4810806784151933e-08
4.68,1.2149485532944793e-08
4.69,1.09658560433369e-08
4.7,1.6199074245708815e-08
4.71,1.6150541710507763e-08
4.72,2.3588135164953138e-08
4.73,2.3500179843699452e-08
4.74,2.3377604727841358e-08
4.75,1.1000000008087873e-09
4.76,2.2912878536157127e-08
4.77,1.038460392986359e-08
4.78,1.008414591204978e-08
4.79,1.4840822146653006e-08
4.8,2.298020893766795e-08
4.81,2.269823787824678e-08
4.82,1.441665694896265e-08
4.83,1.0283968046030718e-08
4.84,2.2664730175509625e-08
4.85,3.197014247782381e-08
4.86,4.505829550062718e-08
4.87,3.186236025605722e-08
4.88,2.8487892150585817e-08
4.89,2.253530589236146e-08
4.9,2.2478656407894862e-08
4.91,2.244994418519383e-08
4.92,3.618010524250327e-08
4.93,2.999999970665357e-10
4.94,1.417074489576421e-08
4.95,2.2398437507900358e-08
4.96,3.6082682792923415e-08
4.97,9.999999439624929e-11
4.98,1.414354968068765e-08
4.99,2.2362692009701536e-08
5.0,3.60556513950328e-08
5.01,3.60556513950328e-08
5.02,1.0000500148706422e-08
5.03,1.4145317160657029e-08
5.04,2.8295582836098294e-08
5.05,1.0001999961331036e-08
5.06,3.609556756068044e-08
5.07,3.610041547555719e-08
5.08,3.6105539706336064e-08
5.09,2.8348015945686724e-08
5.1,2.8354893742590887e-08
5.11,1.4269197510242318e-08
5.12,2.243301125371104e-08
5.13,1.423235741516359e-08
5.14,1.4211263208614697e-08
5.15,1.4192956069182433e-08
5.16,1.0049876002480699e-08
5.17,1.0024470000347937e-08
5.18,3.99999991462785e-10
5.19,3.634776468296099e-08
5.2,2.8624464891147152e-08
5.21,3.192741770322498e-08
5.22,1.4456832519018642e-08
5.23,1.0111874147858903e-08
5.24,3.6442969109772225e-08
5.25,2.8525251956187138e-08
5.26,1.019803896738461e-08
5.27,1.0004499149064777e-08
5.28,2.8640006968164537e-08
5.29,1.441665694896265e-08
5.3,1.0004498927328099e-08
5.31,1.4221462567775615e-08
5.32,1.0332473238557072e-08
5.33,2.2698237878842898e-08
5.34,2.2934907759672626e-08
5.35,2.8977404975683926e-08
5.36,2.088061353254924e-09
5.37,4.237924018540442e-09
5.38,4.176122601166706e-09
5.39,2.205651880734647e-09
5.4,2.118961956589024e-09
5.41,1.1049435122874125e-09
5.42,1.0261091284129425e-09
