time,x,y,z
0.00000000e+00,2.00000000e+00,1.00000000e+00,4.00000000e+00
1.00000000e-01,2.20299697e+00,1.09319845e+00,3.87966202e+00
2.00000000e-01,2.40270506e+00,1.16468972e+00,3.71891953e+00
3.00000000e-01,2.58302509e+00,1.20130511e+00,3.52282183e+00
4.00000000e-01,2.72708300e+00,1.19118133e+00,3.30364654e+00
5.00000000e-01,2.82081684e+00,1.12779019e+00,3.08027253e+00
6.00000000e-01,2.85631465e+00,1.01321441e+00,2.87478763e+00
7.00000000e-01,2.83319720e+00,8.58743711e-01,2.70729814e+00
8.00000000e-01,2.75746293e+00,6.82193791e-01,2.59122257e+00
9.00000000e-01,2.63880952e+00,5.03248032e-01,2.53109210e+00
1.00000000e+00,2.48805274e+00,3.38984105e-01,2.52330438e+00
1.10000000e+00,2.31558642e+00,2.01129384e-01,2.55881280e+00
1.20000000e+00,2.13082732e+00,9.53795161e-02,2.62629497e+00
1.30000000e+00,1.94212146e+00,2.22520875e-02,2.71473829e+00
1.40000000e+00,1.75669915e+00,-2.13181936e-02,2.81500499e+00
1.50000000e+00,1.58056155e+00,-4.03069122e-02,2.92041885e+00
1.60000000e+00,1.41836620e+00,-4.02427606e-02,3.02665678e+00
1.70000000e+00,1.27340273e+00,-2.63034288e-02,3.13127585e+00
1.80000000e+00,1.14769406e+00,-2.83200665e-03,3.23313889e+00
1.90000000e+00,1.04220119e+00,2.68360302e-02,3.33189707e+00
2.00000000e+00,9.57084178e-01,6.03550218e-02,3.42759490e+00
2.10000000e+00,8.91973704e-01,9.62561518e-02,3.52040222e+00
2.20000000e+00,8.46222011e-01,1.33802428e-01,3.61044824e+00
2.30000000e+00,8.19117620e-01,1.72847029e-01,3.69772453e+00
2.40000000e+00,8.10059355e-01,2.13711202e-01,3.78202626e+00
2.50000000e+00,8.18691349e-01,2.57085993e-01,3.86290742e+00
2.60000000e+00,8.45002230e-01,3.03954813e-01,3.93963187e+00
2.70000000e+00,8.89389716e-01,3.55528549e-01,4.01110705e+00
2.80000000e+00,9.52686448e-01,4.13179520e-01,4.07579058e+00
2.90000000e+00,1.03613385e+00,4.78353303e-01,4.13156355e+00
3.00000000e+00,1.14127717e+00,5.52427132e-01,4.17557079e+00
3.10000000e+00,1.26973671e+00,6.36470204e-01,4.20404242e+00
3.20000000e+00,1.42279009e+00,7.30848073e-01,4.21213975e+00
